Candidate,Area,Match %,Matching Keywords,Missing Keywords
Resume_Cisco (1).pdf,Job Description,63.36,"software, systems, development, support, solutions","engineers, iii, teams, sde, understanding"
Resume_Cisco (1).pdf,Key Responsibilities,84.59,"technical, technologies, software, code, development","security, deployment, collaborate, documentation, including"
Resume_Cisco (1).pdf,Required Qualifications,76.49,"systems, experience, bachelor, software, skills","master, sql, strong, testing, ability"
Resume_Cisco (1).pdf,Preferred Qualifications,79.34,"experience, development, technologies, systems, react","work, vuejs, source, understanding, tech"
Resume_Cisco (1).pdf,Job Description,63.36,"software, systems, development, support, solutions","engineers, iii, teams, sde, understanding"
Resume_Cisco (1).pdf,Key Responsibilities,84.59,"technical, technologies, software, code, development","security, deployment, collaborate, documentation, including"
Resume_Cisco (1).pdf,Required Qualifications,76.49,"systems, experience, bachelor, software, skills","master, sql, strong, testing, ability"
Resume_Cisco (1).pdf,Preferred Qualifications,79.34,"experience, development, technologies, systems, react","work, vuejs, source, understanding, tech"
Resume.pdf,Job Description,58.19,"software, systems, development, technical, scalable","engineers, iii, teams, support, solutions"
Resume.pdf,Key Responsibilities,75.79,"technical, technologies, software, code, development","collaborate, documentation, including, solutions, managers"
Resume.pdf,Required Qualifications,69.64,"systems, bachelor, sql, software, skills","experience, master, strong, ability, complex"
Resume.pdf,Preferred Qualifications,77.78,"development, technologies, systems, react","experience, work, vuejs, source, understanding"
